web_scraper_order,web_scraper_start_url,data
"1774426831-1","https://musicbrainz.org/genres","2 tone"
"1774426831-2","https://musicbrainz.org/genres","2-step"
"1774426831-3","https://musicbrainz.org/genres","3-step"
"1774426831-4","https://musicbrainz.org/genres","aak"
"1774426831-5","https://musicbrainz.org/genres","abhang"
"1774426831-6","https://musicbrainz.org/genres","aboio"
"1774426831-7","https://musicbrainz.org/genres","abstract hip hop"
"1774426831-8","https://musicbrainz.org/genres","acholitronix"
"1774426831-9","https://musicbrainz.org/genres","acid breaks"
"1774426831-10","https://musicbrainz.org/genres","acid house"
"1774426831-11","https://musicbrainz.org/genres","acid jazz"
"1774426831-12","https://musicbrainz.org/genres","acid rock"
"1774426831-13","https://musicbrainz.org/genres","acid techno"
"1774426831-14","https://musicbrainz.org/genres","acid trance"
"1774426831-15","https://musicbrainz.org/genres","acidcore"
"1774426831-16","https://musicbrainz.org/genres","acousmatic"
"1774426831-17","https://musicbrainz.org/genres","acoustic blues"
"1774426831-18","https://musicbrainz.org/genres","acoustic chicago blues"
"1774426831-19","https://musicbrainz.org/genres","acoustic rock"
"1774426831-20","https://musicbrainz.org/genres","acoustic texas blues"
"1774426831-21","https://musicbrainz.org/genres","adhunik geet"
"1774426831-22","https://musicbrainz.org/genres","afoxê"
"1774426831-23","https://musicbrainz.org/genres","african blues"
"1774426831-24","https://musicbrainz.org/genres","afro house"
"1774426831-25","https://musicbrainz.org/genres","afro rock"
"1774426831-26","https://musicbrainz.org/genres","afro trap"
"1774426831-27","https://musicbrainz.org/genres","afro-cuban jazz"
"1774426831-28","https://musicbrainz.org/genres","afro-funk"
"1774426831-29","https://musicbrainz.org/genres","afro-jazz"
"1774426831-30","https://musicbrainz.org/genres","afro-zouk"
"1774426831-31","https://musicbrainz.org/genres","afrobeat"
"1774426831-32","https://musicbrainz.org/genres","afrobeats"
"1774426831-33","https://musicbrainz.org/genres","afropiano"
"1774426831-34","https://musicbrainz.org/genres","afroswing"
"1774426831-35","https://musicbrainz.org/genres","agbadza"
"1774426831-36","https://musicbrainz.org/genres","agbekor"
"1774426831-37","https://musicbrainz.org/genres","aggrotech"
"1774426831-38","https://musicbrainz.org/genres","agronejo"
"1774426831-39","https://musicbrainz.org/genres","ahwash"
"1774426831-40","https://musicbrainz.org/genres","aita"
"1774426831-41","https://musicbrainz.org/genres","akishibu-kei"
"1774426831-42","https://musicbrainz.org/genres","al jeel"
"1774426831-43","https://musicbrainz.org/genres","aleke"
"1774426831-44","https://musicbrainz.org/genres","algerian chaabi"
"1774426831-45","https://musicbrainz.org/genres","algorave"
"1774426831-46","https://musicbrainz.org/genres","alloukou"
"1774426831-47","https://musicbrainz.org/genres","alpenrock"
"1774426831-48","https://musicbrainz.org/genres","alté"
"1774426831-49","https://musicbrainz.org/genres","alternative country"
"1774426831-50","https://musicbrainz.org/genres","alternative dance"
"1774426831-51","https://musicbrainz.org/genres","alternative folk"
"1774426831-52","https://musicbrainz.org/genres","alternative hip hop"
"1774426831-53","https://musicbrainz.org/genres","alternative metal"
"1774426831-54","https://musicbrainz.org/genres","alternative pop"
"1774426831-55","https://musicbrainz.org/genres","alternative punk"
"1774426831-56","https://musicbrainz.org/genres","alternative r&b"
"1774426831-57","https://musicbrainz.org/genres","alternative rock"
"1774426831-58","https://musicbrainz.org/genres","amapiano"
"1774426831-59","https://musicbrainz.org/genres","ambasse bey"
"1774426831-60","https://musicbrainz.org/genres","ambient"
"1774426831-61","https://musicbrainz.org/genres","ambient americana"
"1774426831-62","https://musicbrainz.org/genres","ambient dub"
"1774426831-63","https://musicbrainz.org/genres","ambient house"
"1774426831-64","https://musicbrainz.org/genres","ambient noise wall"
"1774426831-65","https://musicbrainz.org/genres","ambient plugg"
"1774426831-66","https://musicbrainz.org/genres","ambient pop"
"1774426831-67","https://musicbrainz.org/genres","ambient techno"
"1774426831-68","https://musicbrainz.org/genres","ambient trance"
"1774426831-69","https://musicbrainz.org/genres","ambrosian chant"
"1774426831-70","https://musicbrainz.org/genres","american gamelan"
"1774426831-71","https://musicbrainz.org/genres","american primitive guitar"
"1774426831-72","https://musicbrainz.org/genres","americana"
"1774426831-73","https://musicbrainz.org/genres","amigacore"
"1774426831-74","https://musicbrainz.org/genres","anarcho-punk"
"1774426831-75","https://musicbrainz.org/genres","anatolian rock"
"1774426831-76","https://musicbrainz.org/genres","andalusian classical"
"1774426831-77","https://musicbrainz.org/genres","andean new age"
"1774426831-78","https://musicbrainz.org/genres","anglican chant"
"1774426831-79","https://musicbrainz.org/genres","animal sounds"
"1774426831-80","https://musicbrainz.org/genres","anti-folk"
"1774426831-81","https://musicbrainz.org/genres","aor"
"1774426831-82","https://musicbrainz.org/genres","apala"
"1774426831-83","https://musicbrainz.org/genres","appalachian folk"
"1774426831-84","https://musicbrainz.org/genres","aquacrunk"
"1774426831-85","https://musicbrainz.org/genres","arabesk"
"1774426831-86","https://musicbrainz.org/genres","arabesk rap"
"1774426831-87","https://musicbrainz.org/genres","arena rock"
"1774426831-88","https://musicbrainz.org/genres","arrocha"
"1774426831-89","https://musicbrainz.org/genres","arrocha funk"
"1774426831-90","https://musicbrainz.org/genres","arrocha sertanejo"
"1774426831-91","https://musicbrainz.org/genres","arrochadeira"
"1774426831-92","https://musicbrainz.org/genres","ars antiqua"
"1774426831-93","https://musicbrainz.org/genres","ars nova"
"1774426831-94","https://musicbrainz.org/genres","ars subtilior"
"1774426831-95","https://musicbrainz.org/genres","art pop"
"1774426831-96","https://musicbrainz.org/genres","art punk"
"1774426831-97","https://musicbrainz.org/genres","art rock"
"1774426831-98","https://musicbrainz.org/genres","art song"
"1774426831-99","https://musicbrainz.org/genres","artcore"
"1774426831-100","https://musicbrainz.org/genres","ashkenazi cantorial music"
"1774426831-101","https://musicbrainz.org/genres","asian rock"
"1774426831-102","https://musicbrainz.org/genres","asmr"
"1774426831-103","https://musicbrainz.org/genres","assiko"
"1774426831-104","https://musicbrainz.org/genres","atmospheric black metal"
"1774426831-105","https://musicbrainz.org/genres","atmospheric drum and bass"
"1774426831-106","https://musicbrainz.org/genres","atmospheric sludge metal"
"1774426831-107","https://musicbrainz.org/genres","audio documentary"
"1774426831-108","https://musicbrainz.org/genres","audio drama"
"1774426831-109","https://musicbrainz.org/genres","autonomic"
"1774426831-110","https://musicbrainz.org/genres","avant-folk"
"1774426831-111","https://musicbrainz.org/genres","avant-garde"
"1774426831-112","https://musicbrainz.org/genres","avant-garde jazz"
"1774426831-113","https://musicbrainz.org/genres","avant-garde metal"
"1774426831-114","https://musicbrainz.org/genres","avant-garde pop"
"1774426831-115","https://musicbrainz.org/genres","avant-prog"
"1774426831-116","https://musicbrainz.org/genres","avanzada"
"1774426831-117","https://musicbrainz.org/genres","avtorskaya pesnya"
"1774426831-118","https://musicbrainz.org/genres","axé"
"1774426831-119","https://musicbrainz.org/genres","bacardi"
"1774426831-120","https://musicbrainz.org/genres","bachata"
"1774426831-121","https://musicbrainz.org/genres","bachatón"
"1774426831-122","https://musicbrainz.org/genres","bagad"
"1774426831-123","https://musicbrainz.org/genres","bagatelle"
"1774426831-124","https://musicbrainz.org/genres","baguala"
"1774426831-125","https://musicbrainz.org/genres","baião"
"1774426831-126","https://musicbrainz.org/genres","baila"
"1774426831-127","https://musicbrainz.org/genres","baisha xiyue"
"1774426831-128","https://musicbrainz.org/genres","baithak gana"
"1774426831-129","https://musicbrainz.org/genres","bakersfield sound"
"1774426831-130","https://musicbrainz.org/genres","balani show"
"1774426831-131","https://musicbrainz.org/genres","balearic beat"
"1774426831-132","https://musicbrainz.org/genres","balearic trance"
"1774426831-133","https://musicbrainz.org/genres","balinese gamelan"
"1774426831-134","https://musicbrainz.org/genres","balitaw"
"1774426831-135","https://musicbrainz.org/genres","ballad"
"1774426831-136","https://musicbrainz.org/genres","ballad opera"
"1774426831-137","https://musicbrainz.org/genres","ballet"
"1774426831-138","https://musicbrainz.org/genres","ballet de cour"
"1774426831-139","https://musicbrainz.org/genres","ballroom house"
"1774426831-140","https://musicbrainz.org/genres","baltimore club"
"1774426831-141","https://musicbrainz.org/genres","bambuco"
"1774426831-142","https://musicbrainz.org/genres","banda sinaloense"
"1774426831-143","https://musicbrainz.org/genres","bandari"
"1774426831-144","https://musicbrainz.org/genres","bandinha"
"1774426831-145","https://musicbrainz.org/genres","banga"
"1774426831-146","https://musicbrainz.org/genres","bantengan"
"1774426831-147","https://musicbrainz.org/genres","baqashot"
"1774426831-148","https://musicbrainz.org/genres","barber beats"
"1774426831-149","https://musicbrainz.org/genres","barbershop"
"1774426831-150","https://musicbrainz.org/genres","bard rock"
"1774426831-151","https://musicbrainz.org/genres","bardcore"
"1774426831-152","https://musicbrainz.org/genres","baroque"
"1774426831-153","https://musicbrainz.org/genres","baroque pop"
"1774426831-154","https://musicbrainz.org/genres","baroque suite"
"1774426831-155","https://musicbrainz.org/genres","bashment soca"
"1774426831-156","https://musicbrainz.org/genres","bass house"
"1774426831-157","https://musicbrainz.org/genres","bassline"
"1774426831-158","https://musicbrainz.org/genres","batida"
"1774426831-159","https://musicbrainz.org/genres","batidão romântico"
"1774426831-160","https://musicbrainz.org/genres","batonebi songs"
"1774426831-161","https://musicbrainz.org/genres","battle rap"
"1774426831-162","https://musicbrainz.org/genres","battle record"
"1774426831-163","https://musicbrainz.org/genres","batucada"
"1774426831-164","https://musicbrainz.org/genres","batuque"
